관측분야 : 지상기상관측
조회기간 : 임의기간(시별): 2014-01-01 00시 ~ 2014-12-31 23시
관측지점 : 서울(108)
출력기후요소 : 기온,강수량,풍속,해면기압,풍향

지점번호,지점,일시,기온 (℃),시간강수량 (mm),풍향 (deg),풍속 (m/s),해면기압 (hPa),원시자료
108,서울,2014-01-03 22,1.5,,290.0,3.6,1018.2,
108,서울,2014-01-03 23,1.1,,290.0,3.5,1018.1,
108,서울,2014-01-04 00,0.6,,320.0,4.2,1018.2,
108,서울,2014-01-04 01,-0.2,,290.0,3.5,1018.3,
108,서울,2014-01-04 02,-0.9,,290.0,3.0,1018.5,
108,서울,2014-01-04 03,-1.5,,290.0,3.1,1018.7,
108,서울,2014-01-04 04,-2.1,,270.0,1.0,1018.7,
108,서울,2014-01-04 05,-2.1,,320.0,2.3,1018.7,
108,서울,2014-01-04 06,-2.8,,290.0,2.1,1018.9,
108,서울,2014-01-04 07,-3.6,,270.0,1.7,1019.6,
108,서울,2014-01-04 08,-3.7,,290.0,1.7,1019.9,
108,서울,2014-01-04 09,-3.3,,270.0,1.7,1020.6,
108,서울,2014-01-04 10,-1.3,,270.0,1.0,1020.8,
108,서울,2014-01-04 11,0.4,,290.0,2.4,1021.0,
108,서울,2014-01-04 12,2.6,,230.0,1.6,1019.9,
108,서울,2014-01-04 13,4.2,,230.0,1.6,1018.7,
108,서울,2014-01-04 14,5.4,,250.0,3.2,1018.0,
108,서울,2014-01-04 15,4.9,,270.0,3.3,1018.1,
108,서울,2014-01-04 16,4.3,,270.0,3.6,1018.6,
108,서울,2014-01-04 17,3.2,,290.0,3.6,1019.1,
108,서울,2014-01-04 18,1.6,,290.0,4.1,1019.5,
108,서울,2014-01-04 19,0.9,,290.0,2.7,1019.7,
108,서울,2014-01-04 20,0.2,,270.0,2.2,1019.9,
108,서울,2014-01-04 21,-0.5,,270.0,2.7,1020.5,
108,서울,2014-01-04 22,-1.2,,270.0,2.1,1020.6,
108,서울,2014-01-04 23,-1.6,,290.0,2.1,1020.9,
108,서울,2014-01-05 00,-2.1,,270.0,2.4,1021.1,
108,서울,2014-01-05 01,-2.5,,270.0,1.8,1021.3,
108,서울,2014-01-05 02,-3.0,,200.0,0.5,1021.4,
108,서울,2014-01-05 03,-3.1,,270.0,1.2,1022.0,
108,서울,2014-01-05 04,-3.5,,270.0,1.4,1022.2,
108,서울,2014-01-05 05,-3.6,,270.0,1.7,1022.5,
108,서울,2014-01-05 06,-3.7,,270.0,1.2,1022.7,
108,서울,2014-01-05 07,-3.6,,250.0,2.4,1023.2,
108,서울,2014-01-05 08,-4.2,,250.0,1.0,1023.7,
108,서울,2014-01-05 09,-3.9,,0.0,0.2,1024.3,
108,서울,2014-01-05 10,-1.9,,340.0,0.6,1024.3,
108,서울,2014-01-05 11,0.5,,340.0,0.7,1024.1,
108,서울,2014-01-05 12,1.5,,250.0,2.3,1023.4,
108,서울,2014-01-05 13,2.5,,270.0,2.3,1022.7,
108,서울,2014-01-05 14,3.3,,290.0,2.2,1022.6,
108,서울,2014-01-05 15,3.6,,250.0,3.7,1023.1,
108,서울,2014-01-05 16,2.7,,290.0,3.8,1023.5,
108,서울,2014-01-05 17,2.0,,290.0,3.5,1023.8,
108,서울,2014-01-05 18,0.9,,290.0,2.4,1024.3,
108,서울,2014-01-05 19,0.3,,340.0,2.4,1024.9,
108,서울,2014-01-05 20,-0.2,,290.0,1.6,1025.6,
108,서울,2014-01-05 21,-0.2,,320.0,3.4,1025.8,
108,서울,2014-01-05 22,-0.7,,290.0,2.9,1026.4,
108,서울,2014-01-05 23,-1.4,,270.0,2.1,1027.0,
108,서울,2014-01-06 00,-1.8,,50.0,0.6,1026.9,
108,서울,2014-01-06 01,-2.4,,0.0,0.0,1026.8,
108,서울,2014-01-06 02,-2.4,,360.0,0.5,1027.0,
108,서울,2014-01-06 03,-2.6,,0.0,0.2,1027.7,
108,서울,2014-01-06 04,-2.8,,0.0,0.4,1027.8,
108,서울,2014-01-06 05,-3.4,,50.0,2.2,1027.8,
108,서울,2014-01-06 06,-3.4,,50.0,2.7,1028.1,
108,서울,2014-01-06 07,-3.4,,20.0,1.4,1028.5,
108,서울,2014-01-06 08,-3.6,,20.0,0.6,1028.8,
108,서울,2014-01-06 09,-3.1,,20.0,1.8,1029.7,
108,서울,2014-01-06 10,-0.8,,50.0,2.9,1030.2,
108,서울,2014-01-06 11,1.1,,50.0,2.6,1029.8,
108,서울,2014-01-06 12,2.8,,50.0,1.8,1029.1,
108,서울,2014-01-06 13,4.2,,50.0,2.0,1028.2,
108,서울,2014-01-06 14,6.2,,160.0,1.6,1027.4,
108,서울,2014-01-06 15,6.4,,230.0,2.3,1027.5,
108,서울,2014-01-06 16,6.1,,230.0,1.7,1027.6,
108,서울,2014-01-06 17,4.8,,290.0,2.9,1027.9,
108,서울,2014-01-06 18,3.7,,340.0,1.8,1028.0,
108,서울,2014-01-06 19,2.9,,270.0,1.7,1027.9,
108,서울,2014-01-06 20,2.0,,50.0,1.7,1027.8,
108,서울,2014-01-06 21,1.7,,320.0,0.5,1028.1,
108,서울,2014-01-06 22,1.7,,20.0,1.2,1027.9,
108,서울,2014-01-06 23,1.1,,20.0,2.5,1027.9,
108,서울,2014-01-07 00,0.9,,70.0,2.1,1027.5,
108,서울,2014-01-07 01,1.4,,50.0,2.1,1027.3,
108,서울,2014-01-07 02,1.2,,20.0,1.3,1027.5,
108,서울,2014-01-07 03,0.6,,50.0,2.2,1027.3,
108,서울,2014-01-07 04,0.8,,50.0,2.0,1027.0,
108,서울,2014-01-07 05,1.0,,50.0,1.6,1026.6,
108,서울,2014-01-07 06,0.7,,20.0,1.9,1026.7,
108,서울,2014-01-07 07,0.4,,20.0,2.4,1026.7,
108,서울,2014-01-07 08,0.7,,50.0,1.5,1026.6,
108,서울,2014-01-07 09,1.0,,20.0,2.5,1027.0,
108,서울,2014-01-07 10,2.1,,20.0,2.4,1026.8,
108,서울,2014-01-07 11,3.2,,20.0,1.6,1026.6,
108,서울,2014-01-07 12,4.1,,20.0,0.8,1025.7,
108,서울,2014-01-07 13,4.5,,250.0,1.4,1024.8,
108,서울,2014-01-07 14,5.0,,200.0,2.6,1024.2,
108,서울,2014-01-07 15,5.5,,250.0,1.5,1024.2,
108,서울,2014-01-07 16,5.3,,270.0,1.5,1024.2,
108,서울,2014-01-07 17,5.1,,290.0,2.3,1024.1,
108,서울,2014-01-07 18,4.7,,290.0,1.7,1024.1,
108,서울,2014-01-07 19,4.3,,20.0,0.5,1024.3,
108,서울,2014-01-07 20,4.0,,290.0,0.8,1024.4,
108,서울,2014-01-07 21,3.6,,250.0,1.3,1024.5,
108,서울,2014-01-07 22,4.1,,270.0,2.0,1024.4,
108,서울,2014-01-07 23,4.0,,0.0,0.3,1024.0,
108,서울,2014-01-08 00,4.0,0.0,290.0,0.8,1023.6,
108,서울,2014-01-08 01,3.9,,290.0,1.9,1023.0,
108,서울,2014-01-08 02,3.8,,0.0,0.4,1022.4,
108,서울,2014-01-08 03,3.8,0.0,270.0,1.7,1022.8,
108,서울,2014-01-08 04,3.8,,290.0,1.7,1022.0,
108,서울,2014-01-08 05,3.6,,290.0,2.0,1021.7,
108,서울,2014-01-08 06,3.1,,320.0,2.4,1021.6,
108,서울,2014-01-08 07,2.5,,320.0,3.0,1021.4,
108,서울,2014-01-08 08,2.0,,320.0,1.9,1021.4,
108,서울,2014-01-08 09,2.0,,290.0,3.0,1021.9,
108,서울,2014-01-08 10,2.1,,290.0,3.4,1022.4,
108,서울,2014-01-08 11,2.2,,340.0,2.3,1022.0,
108,서울,2014-01-08 12,2.3,,290.0,4.1,1021.0,
108,서울,2014-01-08 13,2.6,,290.0,4.5,1019.8,
108,서울,2014-01-08 14,2.7,,290.0,5.2,1019.1,
108,서울,2014-01-08 15,2.5,,320.0,3.6,1019.1,
108,서울,2014-01-08 16,1.8,,290.0,4.7,1019.2,
108,서울,2014-01-08 17,0.4,,290.0,4.2,1019.9,
108,서울,2014-01-08 18,-0.8,,290.0,5.4,1020.8,
108,서울,2014-01-08 19,-1.7,,290.0,5.1,1021.4,
108,서울,2014-01-08 20,-2.8,,340.0,4.1,1022.6,
108,서울,2014-01-08 21,-3.5,,290.0,5.0,1023.1,
108,서울,2014-01-08 22,-4.4,,290.0,3.9,1023.7,
108,서울,2014-01-08 23,-5.1,,290.0,4.2,1023.8,
108,서울,2014-01-09 00,-5.7,,320.0,3.0,1023.9,
108,서울,2014-01-09 01,-6.3,,320.0,4.0,1024.2,
108,서울,2014-01-09 02,-7.2,,290.0,5.4,1024.6,
108,서울,2014-01-09 03,-8.1,,270.0,3.5,1025.2,
108,서울,2014-01-09 04,-8.6,,290.0,2.8,1025.6,
108,서울,2014-01-09 05,-9.1,,290.0,1.9,1025.8,
108,서울,2014-01-09 06,-9.7,,340.0,1.1,1026.3,
108,서울,2014-01-09 07,-10.1,,360.0,2.2,1027.5,
108,서울,2014-01-09 08,-10.4,,320.0,2.8,1028.6,
108,서울,2014-01-09 09,-10.2,,290.0,4.1,1029.8,
108,서울,2014-01-09 10,-9.2,,320.0,2.7,1030.4,
108,서울,2014-01-09 11,-7.6,,270.0,4.2,1030.6,
108,서울,2014-01-09 12,-6.9,,290.0,3.9,1030.0,
108,서울,2014-01-09 13,-5.9,,290.0,4.1,1029.3,
108,서울,2014-01-09 14,-4.9,,290.0,4.6,1028.8,
108,서울,2014-01-09 15,-4.5,,290.0,4.9,1029.0,
108,서울,2014-01-09 16,-4.6,,290.0,3.9,1029.2,
108,서울,2014-01-09 17,-5.7,,290.0,5.6,1029.9,
108,서울,2014-01-09 18,-6.6,,290.0,4.8,1030.3,
108,서울,2014-01-09 19,-7.0,,290.0,2.6,1030.5,
108,서울,2014-01-09 20,-7.5,,270.0,2.3,1030.7,
108,서울,2014-01-09 21,-7.6,,270.0,2.9,1031.2,
108,서울,2014-01-09 22,-7.7,,270.0,3.5,1031.3,
108,서울,2014-01-09 23,-7.8,,340.0,3.0,1031.6,
108,서울,2014-01-10 00,-8.5,,290.0,0.8,1031.5,
108,서울,2014-01-10 01,-8.4,,340.0,1.9,1031.5,
108,서울,2014-01-10 02,-8.7,,290.0,1.8,1031.7,
108,서울,2014-01-10 03,-9.2,,20.0,0.7,1032.3,
108,서울,2014-01-10 04,-8.9,,20.0,0.9,1032.4,
108,서울,2014-01-10 05,-8.5,,20.0,2.2,1032.2,
108,서울,2014-01-10 06,-8.0,,50.0,1.5,1032.3,
108,서울,2014-01-10 07,-7.7,,20.0,1.6,1032.4,
108,서울,2014-01-10 08,-8.0,,50.0,1.8,1032.4,
108,서울,2014-01-10 09,-6.8,,90.0,1.4,1032.9,
108,서울,2014-01-10 10,-5.2,,230.0,1.4,1033.3,
108,서울,2014-01-10 11,-3.9,,20.0,1.1,1032.5,
108,서울,2014-01-10 12,-2.3,0.0,340.0,1.3,1031.8,
108,서울,2014-01-10 13,-1.1,,250.0,2.7,1031.3,
108,서울,2014-01-10 14,-0.9,,270.0,2.4,1030.9,
108,서울,2014-01-10 15,-1.1,0.0,270.0,3.6,1030.8,
108,서울,2014-01-10 16,-1.3,,230.0,3.7,1030.5,
108,서울,2014-01-10 17,-1.7,,270.0,2.7,1030.7,
108,서울,2014-01-10 18,-2.4,0.0,290.0,2.2,1030.8,
108,서울,2014-01-10 19,-3.1,,270.0,2.2,1031.1,
108,서울,2014-01-10 20,-3.3,,270.0,2.5,1031.2,
108,서울,2014-01-10 21,-3.5,,270.0,2.5,1031.5,
108,서울,2014-01-10 22,-3.9,,270.0,1.5,1031.6,
108,서울,2014-01-10 23,-4.2,,270.0,1.9,1031.5,
108,서울,2014-01-11 00,-4.2,,270.0,2.0,1031.5,
108,서울,2014-01-11 01,-4.2,,250.0,2.0,1031.7,
108,서울,2014-01-11 02,-4.4,,250.0,0.6,1031.8,
108,서울,2014-01-11 03,-4.8,,50.0,2.7,1032.1,
108,서울,2014-01-11 04,-5.2,,20.0,1.8,1032.0,
108,서울,2014-01-11 05,-5.2,,50.0,2.1,1032.2,
108,서울,2014-01-11 06,-4.9,,20.0,0.9,1032.4,
108,서울,2014-01-11 07,-5.3,,360.0,0.7,1032.7,
108,서울,2014-01-11 08,-5.3,,320.0,1.2,1033.2,
108,서울,2014-01-11 09,-5.0,,20.0,1.1,1033.7,
108,서울,2014-01-11 10,-3.4,,20.0,0.8,1034.0,
108,서울,2014-01-11 11,-1.0,,50.0,0.9,1033.5,
108,서울,2014-01-11 12,0.7,,290.0,3.1,1032.5,
108,서울,2014-01-11 13,1.3,,320.0,2.5,1031.6,
108,서울,2014-01-11 14,1.8,,290.0,3.1,1031.0,
108,서울,2014-01-11 15,1.7,,270.0,3.5,1030.8,
108,서울,2014-01-11 16,1.4,,290.0,2.1,1030.6,
108,서울,2014-01-11 17,1.1,,270.0,3.0,1030.5,
108,서울,2014-01-11 18,0.5,,250.0,3.2,1030.2,
108,서울,2014-01-11 19,0.2,,270.0,2.3,1030.7,
108,서울,2014-01-11 20,-0.2,,290.0,1.4,1030.1,
108,서울,2014-01-11 21,0.0,,290.0,1.9,1030.2,
108,서울,2014-01-11 22,0.0,,270.0,1.9,1030.1,
108,서울,2014-01-11 23,-1.0,,290.0,1.8,1029.8,
108,서울,2014-01-12 00,-1.9,,270.0,1.4,1029.4,
108,서울,2014-01-12 01,-2.4,,230.0,1.1,1028.9,
108,서울,2014-01-12 02,-2.4,,0.0,0.2,1028.5,
108,서울,2014-01-12 03,-1.9,,270.0,0.8,1028.7,
108,서울,2014-01-12 04,-1.1,,230.0,1.9,1028.2,
108,서울,2014-01-12 05,-1.4,,250.0,2.0,1027.6,
108,서울,2014-01-12 06,-1.9,,230.0,2.3,1027.2,
108,서울,2014-01-12 07,-1.6,,230.0,1.9,1027.0,
108,서울,2014-01-12 08,-1.5,,200.0,1.9,1027.0,
108,서울,2014-01-12 09,-0.5,,230.0,2.6,1027.2,
108,서울,2014-01-12 10,-0.3,,290.0,2.8,1028.2,
108,서울,2014-01-12 11,-0.6,,270.0,3.0,1028.2,
108,서울,2014-01-12 12,0.6,0.0,320.0,3.4,1027.6,
108,서울,2014-01-12 13,1.3,,290.0,5.0,1027.0,
108,서울,2014-01-12 14,1.7,,270.0,5.6,1026.7,
108,서울,2014-01-12 15,1.4,,320.0,5.9,1026.9,
108,서울,2014-01-12 16,0.7,,290.0,5.0,1027.4,
108,서울,2014-01-12 17,-0.7,,270.0,4.9,1028.1,
108,서울,2014-01-12 18,-2.8,,290.0,4.6,1029.0,
108,서울,2014-01-12 19,-4.0,,290.0,5.0,1029.5,
108,서울,2014-01-12 20,-5.0,,320.0,5.4,1030.3,
108,서울,2014-01-12 21,-6.2,,320.0,4.9,1030.7,
108,서울,2014-01-12 22,-6.9,,340.0,5.1,1030.7,
108,서울,2014-01-12 23,-7.4,,320.0,4.2,1031.3,
108,서울,2014-01-13 00,-7.7,,320.0,3.1,1031.6,
108,서울,2014-01-13 01,-8.3,,320.0,2.1,1031.6,
108,서울,2014-01-13 02,-8.6,,290.0,2.1,1031.9,
108,서울,2014-01-13 03,-9.1,,290.0,1.8,1032.7,
108,서울,2014-01-13 04,-9.2,,290.0,3.1,1033.2,
108,서울,2014-01-13 05,-9.8,,290.0,1.7,1032.8,
108,서울,2014-01-13 06,-9.9,,290.0,2.5,1033.1,
108,서울,2014-01-13 07,-10.0,,290.0,3.0,1033.4,
108,서울,2014-01-13 08,-10.5,,270.0,2.7,1033.9,
108,서울,2014-01-13 09,-9.6,,290.0,2.6,1034.8,
108,서울,2014-01-13 10,-7.9,,290.0,3.4,1035.1,
108,서울,2014-01-13 11,-6.1,,270.0,3.8,1035.0,
108,서울,2014-01-13 12,-4.5,,270.0,3.7,1033.8,
108,서울,2014-01-13 13,-3.3,,270.0,4.0,1032.3,
108,서울,2014-01-13 14,-2.3,,290.0,4.5,1031.7,
108,서울,2014-01-13 15,-1.9,,290.0,4.7,1031.3,
108,서울,2014-01-13 16,-1.8,,270.0,3.8,1031.3,
108,서울,2014-01-13 17,-2.8,,290.0,4.3,1031.5,
108,서울,2014-01-13 18,-3.9,,270.0,2.5,1032.0,
108,서울,2014-01-13 19,-4.4,,270.0,2.6,1032.4,
108,서울,2014-01-13 20,-4.9,,270.0,1.6,1032.6,
108,서울,2014-01-13 21,-5.3,,290.0,1.9,1032.8,
108,서울,2014-01-13 22,-5.3,,290.0,2.6,1033.1,
108,서울,2014-01-13 23,-5.4,,290.0,3.2,1033.3,
108,서울,2014-01-14 00,-5.7,,290.0,2.7,1033.5,
108,서울,2014-01-14 01,-6.2,,290.0,2.7,1033.7,
108,서울,2014-01-14 02,-6.6,,320.0,1.6,1033.9,
108,서울,2014-01-14 03,-7.2,,20.0,0.8,1034.0,
108,서울,2014-01-14 04,-7.9,,50.0,2.5,1033.9,
108,서울,2014-01-14 05,-8.1,,50.0,2.1,1033.8,
108,서울,2014-01-14 06,-8.4,,50.0,1.2,1033.8,
108,서울,2014-01-14 07,-8.9,,20.0,1.6,1034.0,
108,서울,2014-01-14 08,-8.6,,70.0,2.7,1033.9,
108,서울,2014-01-14 09,-7.9,,20.0,1.4,1034.0,
108,서울,2014-01-14 10,-5.4,,50.0,0.8,1034.3,
108,서울,2014-01-14 11,-3.0,,20.0,0.9,1034.1,
108,서울,2014-01-14 12,-0.9,,180.0,2.9,1033.4,
108,서울,2014-01-14 13,-0.4,,270.0,2.2,1032.6,
108,서울,2014-01-14 14,0.6,,270.0,3.7,1032.1,
108,서울,2014-01-14 15,0.6,,320.0,3.8,1032.3,
108,서울,2014-01-14 16,0.9,,250.0,3.2,1032.3,
108,서울,2014-01-14 17,-0.5,,270.0,3.1,1032.5,
108,서울,2014-01-14 18,-1.6,,290.0,3.4,1032.6,
108,서울,2014-01-14 19,-2.6,,270.0,3.0,1033.0,
108,서울,2014-01-14 20,-3.0,,270.0,3.1,1033.1,
108,서울,2014-01-14 21,-3.4,,270.0,2.7,1033.4,
108,서울,2014-01-14 22,-3.8,,290.0,2.0,1033.7,
108,서울,2014-01-14 23,-4.8,,340.0,0.5,1033.7,
108,서울,2014-01-15 00,-5.3,,270.0,0.5,1033.6,
108,서울,2014-01-15 01,-5.4,,270.0,0.8,1033.5,
108,서울,2014-01-15 02,-5.7,,270.0,1.2,1033.8,
108,서울,2014-01-15 03,-5.8,,20.0,0.6,1034.1,
108,서울,2014-01-15 04,-6.4,,50.0,1.8,1034.0,
108,서울,2014-01-15 05,-6.9,,20.0,0.7,1033.6,
108,서울,2014-01-15 06,-7.4,,50.0,1.6,1033.6,
108,서울,2014-01-15 07,-7.5,,20.0,1.6,1033.6,
108,서울,2014-01-15 08,-7.3,,360.0,0.6,1033.8,
108,서울,2014-01-15 09,-6.6,,50.0,1.6,1034.2,
108,서울,2014-01-15 10,-3.9,,20.0,1.7,1034.4,
108,서울,2014-01-15 11,-1.9,,50.0,0.6,1034.3,
108,서울,2014-01-15 12,0.6,,200.0,1.6,1033.3,
108,서울,2014-01-15 13,0.9,,340.0,2.3,1032.6,
108,서울,2014-01-15 14,1.7,,270.0,2.7,1032.2,
108,서울,2014-01-15 15,1.7,,290.0,3.6,1032.2,
108,서울,2014-01-15 16,1.7,,290.0,4.0,1031.9,
108,서울,2014-01-15 17,0.9,,270.0,3.3,1031.6,
108,서울,2014-01-15 18,-0.4,,270.0,2.4,1031.9,
108,서울,2014-01-15 19,-1.3,,270.0,2.3,1032.0,
108,서울,2014-01-15 20,-1.9,,290.0,2.8,1031.8,
108,서울,2014-01-15 21,-2.1,,290.0,1.6,1031.9,
108,서울,2014-01-15 22,-2.8,,290.0,1.1,1031.9,
108,서울,2014-01-15 23,-3.2,,360.0,0.7,1031.7,
108,서울,2014-01-16 00,-3.2,,20.0,0.9,1031.4,
108,서울,2014-01-16 01,-3.4,,50.0,2.9,1031.1,
108,서울,2014-01-16 02,-4.0,,50.0,2.7,1031.2,
108,서울,2014-01-16 03,-3.6,,50.0,3.0,1031.1,
108,서울,2014-01-16 04,-2.9,,50.0,3.1,1030.7,
108,서울,2014-01-16 05,-2.6,,50.0,2.5,1030.4,
108,서울,2014-01-16 06,-2.3,,50.0,1.4,1030.3,
108,서울,2014-01-16 07,-1.9,,50.0,0.9,1030.5,
108,서울,2014-01-16 08,-1.9,,50.0,2.6,1030.8,
108,서울,2014-01-16 09,-1.5,,20.0,2.1,1031.1,
108,서울,2014-01-16 10,-0.8,,50.0,2.8,1031.0,
108,서울,2014-01-16 11,0.2,,50.0,3.0,1030.5,
108,서울,2014-01-16 12,1.8,,50.0,2.2,1029.3,
108,서울,2014-01-16 13,2.6,,200.0,2.3,1028.4,
108,서울,2014-01-16 14,3.0,,270.0,1.1,1027.6,
108,서울,2014-01-16 15,3.3,,270.0,3.3,1027.3,
108,서울,2014-01-16 16,3.6,,250.0,2.7,1027.3,
108,서울,2014-01-16 17,3.3,,270.0,1.2,1027.3,
108,서울,2014-01-16 18,2.8,,270.0,2.7,1027.7,
108,서울,2014-01-16 19,2.0,,250.0,1.2,1027.6,
108,서울,2014-01-16 20,1.2,,50.0,1.4,1027.7,
108,서울,2014-01-16 21,0.5,,360.0,0.7,1027.9,
108,서울,2014-01-16 22,0.4,,320.0,1.1,1027.9,
108,서울,2014-01-16 23,0.1,,20.0,0.9,1027.9,
108,서울,2014-01-17 00,-0.4,,270.0,0.7,1027.6,
108,서울,2014-01-17 01,-0.7,,0.0,0.0,1027.4,
108,서울,2014-01-17 02,-1.0,,290.0,1.9,1027.6,
108,서울,2014-01-17 03,-1.7,,0.0,0.1,1027.8,
108,서울,2014-01-17 04,-2.0,,50.0,1.0,1027.5,
108,서울,2014-01-17 05,-2.5,,50.0,1.1,1027.4,
108,서울,2014-01-17 06,-2.8,,50.0,1.8,1027.3,
108,서울,2014-01-17 07,-3.3,,20.0,1.7,1027.5,
108,서울,2014-01-17 08,-3.5,,20.0,2.0,1027.8,
108,서울,2014-01-17 09,-3.2,,20.0,1.5,1028.2,
108,서울,2014-01-17 10,-1.8,,20.0,1.6,1028.6,
108,서울,2014-01-17 11,-0.2,,270.0,0.6,1028.5,
108,서울,2014-01-17 12,2.0,,200.0,0.8,1027.5,
108,서울,2014-01-17 13,2.5,,320.0,2.3,1026.6,
108,서울,2014-01-17 14,3.4,,320.0,2.5,1025.8,
108,서울,2014-01-17 15,3.8,,270.0,2.5,1025.4,
108,서울,2014-01-17 16,3.3,,290.0,2.4,1025.3,
108,서울,2014-01-17 17,2.5,,290.0,2.2,1025.5,
108,서울,2014-01-17 18,1.7,,270.0,2.2,1025.8,
108,서울,2014-01-17 19,1.2,,270.0,2.4,1026.1,
108,서울,2014-01-17 20,0.5,,290.0,1.6,1026.2,
108,서울,2014-01-17 21,0.0,,290.0,1.5,1026.3,
108,서울,2014-01-17 22,-0.1,,270.0,1.9,1026.2,
